year_month,Mkt-RF,SMB,HML,RF,MOM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192912,    1.33,   -4.33,   -0.59,    0.37,   5.15,  -0.4171, -22.4125,  -8.5522,  -7.9945,  -3.1236,  -4.7068,  -6.2239,  -7.3655,   0.5299,  -4.5194,  -2.0972,  -0.9108,   2.5184,  -2.5041,   5.3308,   2.3324,  -3.1381,  -2.6856,   0.6247,  10.9509,   3.7920,   3.5643,   0.4456,   0.6386,   0.8787,  -3.14,  -8.29,  -0.05,   2.55,   0.45,   1.05,  -5.05,   2.20,   2.28,   4.48
193001,    5.61,    3.54,   -1.01,    0.14,  -5.04,  -2.7769,  10.0635,  22.7188,  11.8021,  10.9299,   7.8448,  12.0906,   8.9512,   4.7055,  14.5598,   9.6247,  10.6585,   4.2805,   6.3256,   4.1286,   8.4520,   6.1692,   5.5572,   3.4816,   3.9395,   6.8371,   7.6055,   0.6769,   4.9891,  -0.4104,  14.05,   7.90,   4.62,   7.64,   6.46,   7.94,   4.23,   3.79,   7.77,   3.80
193002,    2.50,    0.13,    0.39,    0.30,   0.62,  16.9723,  14.2778,  -1.7111,  -1.4082,   2.7560,  -1.9117,   2.3173,   4.1591,   1.4123,   5.2390,   1.7809,   3.1474,   2.0982,   3.6040,   2.8365,   2.6019,   8.6780,  -1.3552,   0.2799,   1.0041,   2.9883,   4.5480,   1.1713,   1.4888,   4.9676,   2.30,   0.52,   3.03,   1.13,   4.17,   1.29,   1.44,   3.06,   2.05,   3.40
193003,    7.10,    3.43,    0.15,    0.35,  -4.27,  22.8187,  -1.8224,   6.8902,  16.7068,  11.7961,   6.2672,   4.6523,  14.0850,   8.3640,   5.5369,   9.5191,   8.4823,   7.9646,   8.1868,  14.1204,   8.5857,   5.9580,   7.3459,  12.1547,  10.9418,   6.5076,   6.1455,  11.4727,   4.4912,   2.1312,  13.31,   2.90,  11.89,  11.12,   7.42,   5.71,   6.14,   6.25,   5.94,   8.43
193004,   -2.06,   -0.20,   -0.84,    0.21,   3.98,  -6.9121,  -4.8411,  -6.9974,  -7.7391,  -5.3932,  -8.8133,  -4.7980,  -3.1293,  -3.8649,  -5.1737,  -3.8056,  -4.3531,  -4.8435,  -3.2330,  -2.4801,  -2.5085,  -5.1284,  -5.3348,  -5.1203,  -4.4542,  -0.8256,  -3.3276,   0.0444,  -6.1794,  -7.3356,  -1.72,   6.49, -10.18,  -9.98,  -4.62,   1.48,  -3.32,  -3.58,  -0.73,  -1.38
193005,   -1.66,   -2.04,   -0.63,    0.26,  -0.01,  -2.4085, -13.4212,   3.6605,  -5.1405,  -6.2496,  -5.8346,  -1.5137,  -5.2674,  -4.3309,  -2.5617,  -3.6907,  -0.5319,  -3.9294,  -2.4145,   0.3779,  -2.7179,  -3.6612,  -3.4341,  -0.1329,  -4.8121,   0.7935,   0.0636,  -2.0419,  -1.5224,  -0.7952,  -0.38,  -8.03,   4.71,   0.02,   1.08,  -2.65,  -4.19,  -1.18,  -0.98,  -1.03
193006,  -16.27,   -3.24,    2.00,    0.27,   6.61, -13.4475, -19.8604, -16.4967, -15.2347, -20.9092, -23.7959, -17.5658, -16.7456, -17.3954, -18.7022, -14.4283, -17.9878, -14.5330, -13.8237, -17.5016, -21.4890, -17.5566, -15.6324, -14.1465, -18.5017, -17.7473, -16.7821, -13.4031,  -9.5365,  -9.6586, -26.34, -24.64, -16.80, -22.46, -18.07, -16.55, -13.73, -10.88, -13.79, -16.40
193007,    4.12,   -0.37,   -1.56,    0.20,  -2.11,   2.6405,   4.0962,  12.9011,   2.8435,   1.0995,   7.8436,   6.3313,   4.9914,   2.8862,   0.8179,   6.2628,   5.7430,   3.3278,   4.8204,   2.8600,   4.8326,   4.7672,   3.8751,   1.9223,   1.8338,   5.2032,   3.8587,   3.4147,   2.4026,  10.2405,   4.80,   5.96,   5.37,   5.31,   9.17,   5.24,   4.95,   3.20,   1.39,   6.25
193008,    0.30,   -2.22,   -0.78,    0.09,   3.92,  -9.3290,  -8.5398,  -3.2926,  -5.9680,  -3.5783,  -3.7641,   0.3784,  -0.8875,  -2.6803,  -0.9432,  -2.6558,  -1.2847,  -1.8241,  -1.1936,  -1.1033,   1.7901,  -0.3865,  -1.5971,  -2.6999,   3.1467,   1.3510,  -0.4376,   0.4483,  -1.5645, -24.0437,  -4.23,  -0.55,  -3.31,  -4.11,   1.03,   1.42,   2.27,   0.66,   0.15,   1.17
193009,  -12.75,   -2.22,   -5.27,    0.22,  11.51, -30.8037, -33.7274, -29.9790, -19.3383, -19.5865, -14.4077, -14.2594, -14.4433, -15.6804, -19.7007, -12.6977, -14.6166, -12.0333, -15.5330, -21.7125, -12.6098, -14.7606, -12.7992, -12.8347, -17.6075, -12.6289, -11.6709,  -9.3752, -14.6559, -28.0576, -21.70, -23.06, -22.99, -16.05, -14.37, -12.10, -13.38,  -8.73,  -9.82, -12.47
193010,   -8.78,   -0.10,   -1.35,    0.09,   6.89, -31.8635,  -9.2415,  -6.8098, -14.9920,  -9.8368,  -6.1250, -11.4794, -10.3726,  -9.7261,  -8.3386, -13.8209,  -8.9189,  -5.9314, -11.4367, -18.7547, -11.1958,  -9.4778,  -8.0558, -11.3286, -12.7708, -10.0434,  -6.8773,  -6.8661,  -8.7860, -20.0000, -18.10, -14.31, -16.34, -15.30, -10.98, -10.08,  -6.97,  -6.07,  -9.02,  -7.22
193011,   -3.04,    2.21,   -3.53,    0.13,  -1.18,  19.7776, -15.4883,  -4.4972,  -1.2823,  -3.8453,  -6.5242,   1.9767,  -3.7353,  -2.5188,  -4.3808,  -0.9718,  -0.4854,  -2.4579,   2.0941,  -5.5072,  -0.8203,   0.6772,  -2.2174,  -4.7826,  -2.5984,  -2.4435,  -1.4559,  -4.9502,  -7.3212, -12.5000,   1.09,   4.61,  -4.23,  -1.35,  -4.07,  -5.01,  -3.68,  -0.86,  -3.41,  -1.73
